,FileName,Year,Variable,Time Resolution,Time Step,Start Date,End Date,Latitude Resolution,North Boundary,South Boundary,Longitude Resolution,East Boundary,West Boundary
1,e0_avg_1911.nc,1911,e0_avg,365,1 days,1911-01-01,1911-12-31,681,-10.0,-44.0,841,154.0,112.0
2,e0_avg_1912.nc,1912,e0_avg,366,1 days,1912-01-01,1912-12-31,681,-10.0,-44.0,841,154.0,112.0
3,e0_avg_1913.nc,1913,e0_avg,365,1 days,1913-01-01,1913-12-31,681,-10.0,-44.0,841,154.0,112.0
4,e0_avg_1914.nc,1914,e0_avg,365,1 days,1914-01-01,1914-12-31,681,-10.0,-44.0,841,154.0,112.0
5,e0_avg_1915.nc,1915,e0_avg,365,1 days,1915-01-01,1915-12-31,681,-10.0,-44.0,841,154.0,112.0
6,e0_avg_1916.nc,1916,e0_avg,366,1 days,1916-01-01,1916-12-31,681,-10.0,-44.0,841,154.0,112.0
7,e0_avg_1917.nc,1917,e0_avg,365,1 days,1917-01-01,1917-12-31,681,-10.0,-44.0,841,154.0,112.0
8,e0_avg_1918.nc,1918,e0_avg,365,1 days,1918-01-01,1918-12-31,681,-10.0,-44.0,841,154.0,112.0
9,e0_avg_1919.nc,1919,e0_avg,365,1 days,1919-01-01,1919-12-31,681,-10.0,-44.0,841,154.0,112.0
10,e0_avg_1920.nc,1920,e0_avg,366,1 days,1920-01-01,1920-12-31,681,-10.0,-44.0,841,154.0,112.0
11,e0_avg_1921.nc,1921,e0_avg,365,1 days,1921-01-01,1921-12-31,681,-10.0,-44.0,841,154.0,112.0
12,e0_avg_1922.nc,1922,e0_avg,365,1 days,1922-01-01,1922-12-31,681,-10.0,-44.0,841,154.0,112.0
13,e0_avg_1923.nc,1923,e0_avg,365,1 days,1923-01-01,1923-12-31,681,-10.0,-44.0,841,154.0,112.0
14,e0_avg_1924.nc,1924,e0_avg,366,1 days,1924-01-01,1924-12-31,681,-10.0,-44.0,841,154.0,112.0
15,e0_avg_1925.nc,1925,e0_avg,365,1 days,1925-01-01,1925-12-31,681,-10.0,-44.0,841,154.0,112.0
16,e0_avg_1926.nc,1926,e0_avg,365,1 days,1926-01-01,1926-12-31,681,-10.0,-44.0,841,154.0,112.0
17,e0_avg_1927.nc,1927,e0_avg,365,1 days,1927-01-01,1927-12-31,681,-10.0,-44.0,841,154.0,112.0
18,e0_avg_1928.nc,1928,e0_avg,366,1 days,1928-01-01,1928-12-31,681,-10.0,-44.0,841,154.0,112.0
19,e0_avg_1929.nc,1929,e0_avg,365,1 days,1929-01-01,1929-12-31,681,-10.0,-44.0,841,154.0,112.0
20,e0_avg_1930.nc,1930,e0_avg,365,1 days,1930-01-01,1930-12-31,681,-10.0,-44.0,841,154.0,112.0
21,e0_avg_1931.nc,1931,e0_avg,365,1 days,1931-01-01,1931-12-31,681,-10.0,-44.0,841,154.0,112.0
22,e0_avg_1932.nc,1932,e0_avg,366,1 days,1932-01-01,1932-12-31,681,-10.0,-44.0,841,154.0,112.0
23,e0_avg_1933.nc,1933,e0_avg,365,1 days,1933-01-01,1933-12-31,681,-10.0,-44.0,841,154.0,112.0
24,e0_avg_1934.nc,1934,e0_avg,365,1 days,1934-01-01,1934-12-31,681,-10.0,-44.0,841,154.0,112.0
25,e0_avg_1935.nc,1935,e0_avg,365,1 days,1935-01-01,1935-12-31,681,-10.0,-44.0,841,154.0,112.0
26,e0_avg_1936.nc,1936,e0_avg,366,1 days,1936-01-01,1936-12-31,681,-10.0,-44.0,841,154.0,112.0
27,e0_avg_1937.nc,1937,e0_avg,365,1 days,1937-01-01,1937-12-31,681,-10.0,-44.0,841,154.0,112.0
28,e0_avg_1938.nc,1938,e0_avg,365,1 days,1938-01-01,1938-12-31,681,-10.0,-44.0,841,154.0,112.0
29,e0_avg_1939.nc,1939,e0_avg,365,1 days,1939-01-01,1939-12-31,681,-10.0,-44.0,841,154.0,112.0
30,e0_avg_1940.nc,1940,e0_avg,366,1 days,1940-01-01,1940-12-31,681,-10.0,-44.0,841,154.0,112.0
31,e0_avg_1941.nc,1941,e0_avg,365,1 days,1941-01-01,1941-12-31,681,-10.0,-44.0,841,154.0,112.0
32,e0_avg_1942.nc,1942,e0_avg,365,1 days,1942-01-01,1942-12-31,681,-10.0,-44.0,841,154.0,112.0
33,e0_avg_1943.nc,1943,e0_avg,365,1 days,1943-01-01,1943-12-31,681,-10.0,-44.0,841,154.0,112.0
34,e0_avg_1944.nc,1944,e0_avg,366,1 days,1944-01-01,1944-12-31,681,-10.0,-44.0,841,154.0,112.0
35,e0_avg_1945.nc,1945,e0_avg,365,1 days,1945-01-01,1945-12-31,681,-10.0,-44.0,841,154.0,112.0
36,e0_avg_1946.nc,1946,e0_avg,365,1 days,1946-01-01,1946-12-31,681,-10.0,-44.0,841,154.0,112.0
37,e0_avg_1947.nc,1947,e0_avg,365,1 days,1947-01-01,1947-12-31,681,-10.0,-44.0,841,154.0,112.0
38,e0_avg_1948.nc,1948,e0_avg,366,1 days,1948-01-01,1948-12-31,681,-10.0,-44.0,841,154.0,112.0
39,e0_avg_1949.nc,1949,e0_avg,365,1 days,1949-01-01,1949-12-31,681,-10.0,-44.0,841,154.0,112.0
40,e0_avg_1950.nc,1950,e0_avg,365,1 days,1950-01-01,1950-12-31,681,-10.0,-44.0,841,154.0,112.0
